,lead_time,arrival_date_year,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,agent,company,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,arrival_month_num,total_nights,total_guests,has_children,has_agent,has_company,adr_per_person,is_canceled
previous_cancellations,0.08604180192778886,-0.1198220704517885,0.035500909120664344,-0.02701077611969974,-0.012774618878822905,-0.013992430936177299,-0.00673809613961064,-0.024729165673581983,-0.007500998451213157,0.08229323421675043,1.0,0.15272811485691068,-0.02699266259114278,-0.01819197016766144,-0.001189713918658483,0.005928940884109622,-0.06564563827526634,-0.018492250381405236,-0.04838411840222119,0.03747933576599732,-0.015428898433924648,-0.020058192980376276,-0.027605734423244977,-0.029454177069677255,0.021229073592129263,-0.04941880744694313,0.11013280822284209
previous_bookings_not_canceled,-0.07354816794373444,0.02921805116022924,-0.020903551674042682,-0.0002997867639673294,-0.04271523495025465,-0.04874254953327373,-0.10798317248275179,-0.02107166379386133,-0.006550454279340449,0.4180559949369085,0.15272811485691068,1.0,0.011607528854568576,-0.04629626041324973,0.11081662655811503,-0.00939697785435367,-0.07214419574746672,0.04765308694330182,0.037823775725826424,-0.021640423771766486,-0.05304945053154993,-0.09909673841928063,-0.02317990035123105,-0.1882263096924946,0.27051757994333725,0.0011469069272680714,-0.05735772316594581
booking_changes,0.0001488300727777041,0.0308723496062332,0.005507503474122038,0.010612855996027152,0.06328131589027766,0.09620944596835253,-0.05167277353143062,0.04895169903129344,0.0834397814233238,0.012091787335539152,-0.02699266259114278,0.011607528854568576,1.0,0.036478417091153216,0.08886255987017284,-0.01163394459403212,0.019617673785324065,0.06562019136714943,0.052833435749307676,0.004808796810296944,0.09649837580213017,-0.003172800264564867,0.07976469112371214,-0.074787422355824,0.0807424398116858,0.026690884460030248,-0.14438099106132654
agent,-0.012639853508062161,0.056463449610260605,-0.018244156717474275,0.00020176661171135565,0.1614270874334131,0.1951351284707472,0.024993555775177503,0.05058099466569464,0.030265627169377873,-0.05226389568308106,-0.01819197016766144,-0.04629626041324973,0.036478417091153216,1.0,-0.12153617851454919,-0.040853187118646495,0.016707048790004092,0.11915776140374185,0.06069637168836803,-0.017179011152966193,0.20863719353773424,0.05202987073239252,0.05149277669174683,0.2781059474589684,-0.15676337413049876,-0.041330469891644,-0.04652945245026958
company,-0.08624976141267185,0.03388175612378601,-0.03274985017962745,0.003723526026292629,-0.07997720505297823,-0.0436408748753785,-0.16677844277847675,-0.04262175378909175,-0.009458876612768688,0.15972311696040722,-0.001189713918658483,0.11081662655811503,0.08886255987017284,-0.12153617851454919,1.0,-0.02298618940590346,-0.12846977842819982,0.03829860595702607,-0.09106554223760735,-0.033534381205159225,-0.06379256400287134,-0.15852425175373958,-0.04599890025701721,-0.475932468038429,0.8129807779883595,0.005178536084171662,-0.08299479643487706
days_in_waiting_list,0.1700841842637818,-0.056496602049327,0.022933026652450422,0.02272753516251912,-0.05415111348359235,-0.002019810099214397,-0.008283347421433492,-0.033271416235454085,-0.01062054267871867,-0.022234965332392435,0.005928940884109622,-0.00939697785435367,-0.01163394459403212,-0.040853187118646495,-0.02298618940590346,1.0,-0.04075641204563355,-0.03060004596195985,-0.08272971877007586,0.019044794247479235,-0.0226517288295908,-0.026430916631232818,-0.036829368825898164,0.04202914046065042,-0.028294200082422043,-0.019890515615140908,0.054185824117780675
adr,-0.06307685251681924,0.197580088495447,0.07579064299569262,0.030245194761960578,0.0493419060259593,0.06523748026533607,0.23064121552351227,0.3248530297425221,0.02918569025619876,-0.13431444666341436,-0.06564563827526634,-0.07214419574746672,0.019617673785324065,0.016707048790004092,-0.12846977842819982,-0.04075641204563355,1.0,0.056628091940328196,0.17218526436930726,0.07931476945925305,0.06794502658530241,0.3681051965195461,0.3031060483253911,0.13853025990333476,-0.16801224062620584,0.6601335486426038,0.047556597880389954
required_car_parking_spaces,-0.11645057013918576,-0.013684410868400212,0.0019204228607330284,0.008683466451624941,-0.018553809176170628,-0.024859422747840414,0.014784817202464398,0.05625494740802962,0.037383355906134896,0.07708957299331305,-0.018492250381405236,0.04765308694330182,0.06562019136714943,0.11915776140374185,0.03829860595702607,-0.03060004596195985,0.056628091940328196,1.0,0.08262633831523661,0.00025702947486463495,-0.025794152503399007,0.04793430067398599,0.06685960786595406,-0.09522336740815007,0.04996783403188494,0.0019971884178254205,-0.19549781749449852
total_of_special_requests,-0.09571204885480938,0.1085314863379896,0.026149363589958306,0.0030621241403246857,0.07267083049399105,0.06819178170957099,0.12288354569972604,0.08173584130733508,0.09788879209575428,0.013050008618125926,-0.04838411840222119,0.037823775725826424,0.052833435749307676,0.06069637168836803,-0.09106554223760735,-0.08272971877007586,0.17218526436930726,0.08262633831523661,1.0,0.028025505642676106,0.07925877971139592,0.1568337566336334,0.13083003702112003,0.10774209211468604,-0.09946961032001254,0.027165051032021142,-0.2346577739690245
arrival_month_num,0.13142366344276576,-0.5277387140397488,0.9951051119689924,-0.026062878178746522,0.01844000381005562,0.019211796420479526,0.028533738796813122,0.005436834598784021,0.010171543088036361,-0.030729222497307387,0.03747933576599732,-0.021640423771766486,0.004808796810296944,-0.017179011152966193,-0.033534381205159225,0.019044794247479235,0.07931476945925305,0.00025702947486463495,0.028025505642676106,1.0,0.021535621581106407,0.027251653059064556,0.009987413430839842,0.03398140137688056,-0.026658163453358988,0.0546246739748903,0.011021783079191223
